idx,angdist_arcsec,qso_name,qso_type,qso_ra,qso_dec,qso_z
80917,55.531059,SDSS J134706.28+360309.9,Q,206.7761843,36.0527764,0.5550000071525574
40929,146.059427,WISEA J084015.54-030741.7,q,130.0648377,-3.1283286,2.0
70938,156.215198,SDSS J013759.99+293722.1,Q,24.4999757,29.6228101,2.819000005722046
20986,13.907868,SDSS J003905.83+005425.5,QX,9.774297,0.9070941,2.7170000076293945
20986,115.366914,SDSS J003859.21+005450.9,AX,9.7467243,0.9141505,0.414000004529953
20986,156.109821,SDSS J003914.76+005248.1,QX,9.8115231,0.8800323,1.9819999933242798
962,96.500532,WISEA J101130.08-301117.2,q,152.8753498,-30.1881321,2.200000047683716
60926,111.055456,SDSS J015034.96+150249.5,Q,27.6456976,15.0470727,0.4339999854564667
70939,33.808574,SDSS J013743.55+312736.8,Q,24.4314955,31.4602309,1.4149999618530273
10949,154.052272,WISEA J223828.04+333834.6,q,339.6168558,33.6429523,1.5
80920,100.875648,SDSS J170210.81+342925.6,Q,255.5450494,34.4904531,1.4259999990463257
80920,157.112672,WISEA J170203.86+342734.9,q,255.5160669,34.4597406,0.30000001192092896
60927,160.042347,SDSS J015424.63+162151.4,NR,28.602625,16.3643,0.4819999933242798
60927,178.424579,SDSS J015418.58+162656.4,Q,28.5774383,16.4490178,0.6200000047683716
70942,177.163727,WISEA J025628.47-113433.0,q,44.1186416,-11.5758141,0.6000000238418579
80921,54.368524,SDSS J165958.17+350544.4,Q,254.9924142,35.0956728,1.0839999914169312
30974,112.625578,WISEA J231055.43+071252.2,q,347.7310208,7.2144608,0.30000001192092896
20990,123.046041,SDSS J073819.37+182018.1,Q,114.5807133,18.3383822,2.0980000495910645
90913,169.379407,WISEA J200146.49-525549.3,q,300.4437124,-52.9303796,1.2000000476837158
966,58.405725,WISEA J033911.70-201025.0,q,54.7987269,-20.173532,0.5
80922,136.719467,SDSS J165922.88+353437.4,N,254.8453221,35.5770419,0.12099999934434891
80922,168.37337,SDSS J165912.80+353345.2,Q,254.8033336,35.5625483,1.156999945640564
80922,172.087697,SDSS J165938.70+353151.9,Q,254.9112489,35.5310881,1.2380000352859497
40935,134.60128,SDSS J111337.62+222949.2,Q,168.4067803,22.497026,2.0420000553131104
60928,150.821766,WISEA J025728.14-010522.2,q,44.3672741,-1.0895117,0.30000001192092896
70944,68.368009,WISEA J031310.03-030437.0,q,48.2918189,-3.0769947,1.899999976158142
10953,57.510244,WISEA J022026.36+435434.3,q,35.1097886,43.9095091,0.20000000298023224
60929,70.022868,SDSS J024855.23-020550.0,Q,42.2301657,-2.097266,1.2990000247955322
80923,74.07055,J171415.62+354008.2,R,258.5651037,35.6689458,0.5
90914,162.666354,WISEA J202106.68-531124.4,q,305.2778333,-53.1901311,1.7000000476837158
20992,138.667486,SDSS J113330.24+213326.5,QX,173.3759949,21.5573853,0.8100000023841858
20992,144.691316,WISEA J113347.38+213055.6,q,173.447466,21.5154585,0.5
60930,46.826429,SDSS J025732.22-004634.0,Q,44.384261,-0.776122,0.7089999914169312
