idx,angdist_arcsec,qso_name,qso_type,qso_z,qso_xname,qso_rname
50958,165.622636,J090025.51-071443.3,R,1.2999999523162842,,VL0J090025.53-071442.7
21007,174.884128,WISEA J022650.90-093942.9,q,1.0,,
40953,50.462116,J202329.74-400221.1,X,,2XMM J202329.7-400220,
40953,118.125169,WISEA J202338.08-400055.5,qRX,,4XMM J202337.8-400056,NVSS J202338.2-400058
21008,77.276831,WISEA J024616.36-130849.4,q,0.8999999761581421,,
10968,117.210654,SDSS J231641.58+303120.3,Q,2.138000011444092,,
90925,114.869824,SDSS J235921.90+085454.7,Q,0.7670000195503235,,
70960,106.444801,SDSS J100238.91+202313.3,qX,1.7999999523162842,4XMM J100238.9+202313,
70960,164.102809,J100255.42+202219.1,X,0.4000000059604645,4XMM J100255.3+202219,
70960,170.206661,SDSS J100257.89+202417.9,qX,0.30000001192092896,4XMM J100257.9+202417,
80938,142.342648,SDSS J232700.85+141028.3,Q,1.3320000171661377,,
60944,137.70113,SDSS J084722.03+023125.8,Q,1.2130000591278076,,
70961,78.097597,SDSS J095442.50+180453.9,Q,2.638000011444092,,
984,167.660373,SDSS J120638.06+431142.1,QX,0.8410000205039978,CXO J120638.1+431143,
40955,89.580902,WISEA J201341.11-400852.0,q,0.8999999761581421,,
10969,153.027168,SDSS J231151.40+294623.0,Q,0.7860000133514404,,
90927,172.131147,SDSS J000111.08+091747.6,Q,2.2060000896453857,,
21011,132.420035,WISEA J024442.20-153233.2,q,1.2999999523162842,,
21011,150.524999,WISEA J024447.25-153617.7,q,0.800000011920929,,
70962,90.967612,SDSS J095236.00+185117.1,Q,0.6890000104904175,,
70962,106.063659,WISEA J095247.54+184935.7,q,0.20000000298023224,,
70962,132.220036,SDSS J095233.52+185140.6,qX,1.2000000476837158,2RXS J095234.2+185124,
80940,115.377343,SDSS J000240.16-055640.1,qX,2.0999999046325684,4XMM J000240.1-055640,
80940,116.099329,J000236.44-055540.2,X,1.5,4XMM J000236.4-055538,
985,78.742249,SDSS J120803.06+454628.6,QX,2.132999897003174,4XMM J120803.1+454628,
985,126.481274,SDSS J120744.21+454534.3,Q,1.2869999408721924,,
50962,94.230584,J094919.60-061935.3,R,,,NVSS J094919.6-061934
90928,149.985917,WISEA J004406.42-561350.8,q,0.30000001192092896,,
30992,90.463523,SDSS J120049.40+213056.8,Q,2.2190001010894775,,
30992,106.223408,SDSS J120052.70+213406.7,N,0.057999998331069946,,
40957,111.510458,WISEA J213622.87+044951.3,q,1.5,,
10970,139.270661,SDSS J232314.18+281446.8,Q,1.6549999713897705,,
10970,150.017036,SDSS J232331.40+281148.6,Q,1.3600000143051147,,
986,53.633878,SDSS J121004.37+434057.6,QX,2.188999891281128,4XMM J121004.1+434056,
986,169.56032,SDSS J120953.96+434022.0,QX,1.7990000247955322,4XMM J120953.9+434021,
80942,124.584105,SDSS J235703.79-082427.7,Q,2.510999917984009,,
50964,149.435882,SDSS J105158.82+234212.5,Q,2.1070001125335693,,
70964,124.207717,SDSS J102211.75+263537.5,Q,2.0480000972747803,,
70964,125.679105,SDSS J102157.91+263823.9,Q,0.8759999871253967,,
70964,145.122985,J102154.56+263721.8,R,0.6000000238418579,,VL0J102154.53+263721.9
60948,60.917069,LAMOSTJ085829.31+285609.1,Q,1.7920000553131104,,
60948,177.463403,SDSS J085828.14+285835.0,Q,1.8320000171661377,,
987,174.821634,SDSS J115455.54+442423.3,Q,2.7209999561309814,,
80943,179.443734,SDSS J000558.26-062811.7,qX,1.7999999523162842,2SXPS J000558.1-062812,
60949,157.812656,J085849.10+273748.5,X,,2XMM J085849.0+273746,
70966,91.679636,SDSS J103018.76+284445.4,Q,1.815999984741211,,
70966,173.776366,SDSS J103007.70+284753.3,Q,0.3610000014305115,,
10973,97.11362,WISEA J035753.49-302138.1,q,1.399999976158142,,
10973,122.888377,WISEA J035759.36-302001.9,q,1.2999999523162842,,
30996,98.297023,LAMOSTJ121211.94+204221.0,Q,0.9629999995231628,,
30996,171.299037,SDSS J121205.91+204320.1,QR2,2.319000005722046,,VL0J121205.88+204320.1
80945,164.89548,WISEA J004905.72-480001.0,q,0.10000000149011612,,
10974,116.14506,WISEA J040252.88-280640.4,q,0.30000001192092896,,
30997,163.8299,WISEA J120421.48+215857.4,q,1.5,,
70967,131.169518,SDSS J102702.96+292620.0,Q,0.9710000157356262,,
70967,159.910066,SDSS J102716.28+292555.8,Q,1.024999976158142,,
60951,52.308625,SDSS J085823.84+285058.6,Q,0.9290000200271606,,
60951,146.420733,SDSS J085817.68+284811.5,Q,0.7170000076293945,,
40962,117.934574,SDSS J220906.76+105142.4,Q,3.4049999713897705,,
992,134.921535,WISEA J031500.60-182617.1,q,3.200000047683716,,
30998,110.819744,SDSS J115948.53+200406.3,Q,2.4089999198913574,,
40963,83.349125,SDSS J215704.02+105825.5,Q,2.559999942779541,,
80947,63.224642,J010523.01-465857.9,X,,2SXPS J010522.9-465859,
21019,159.119,WISEA J050453.80-250438.2,q,0.20000000298023224,,
90937,158.300999,WISEA J031544.55+385932.0,q,0.800000011920929,,
993,85.227812,WISEA J031320.62-193827.5,qR2X,1.0,XMMSL J031321.1-193824,VL0J031320.62-193827.2
30999,49.478766,SDSS J120016.73+211311.3,qR,3.799999952316284,,FIRST J120016.7+211311
70969,152.292732,SDSS J115146.30+335319.2,Q,2.3919999599456787,,
40964,161.212208,SDSS J015022.37-041615.5,Q,1.2300000190734863,,
90938,78.560038,WISEA J032835.55+375640.7,q,2.4000000953674316,,
10978,27.503532,SDSS J072918.28+415312.0,Q,1.0499999523162842,,
40965,177.826366,WISEA J015054.07-045724.1,qR,1.5,,VL0J015054.11-045723.9
21021,75.659325,SDSS J111653.22+041532.9,Q,2.236999988555908,,
995,167.186412,WISEA J031829.79-205310.3,q,0.800000011920929,,
40966,154.581489,SDSS J020127.32-032735.8,QX,0.1589999943971634,2RXS J020126.9-032734,
21022,175.409549,WISEA J111620.52+041005.3,qX,1.100000023841858,2RXS J111620.5+041025,
10979,93.583989,SDSS J073413.82+435434.0,Q,1.0980000495910645,,
10979,124.444061,SDSS J073356.65+435345.7,Q,2.26200008392334,,
60956,30.406242,SWIRE J104602.20+575913.6,Q,2.950000047683716,,
60956,56.495911,SDSS J104556.85+575919.2,Q,0.9359999895095825,,
60956,122.018966,SWIRE J104606.00+580142.8,Q,1.5190000534057617,,
40967,67.029295,J020214.93-040101.7,X,,4XMM J020214.9-040100,
40967,145.559125,J020214.10-040433.1,X,,4XMM J020214.3-040429,
21024,73.800602,SDSS J115700.17+420610.2,Q,0.4189999997615814,,
21024,153.333629,SDSS J115655.20+420423.6,Q,1.3329999446868896,,
60957,94.174734,SDSS J105431.40+573202.0,QX,2.190000057220459,CXO J105431.5+573204,
60957,95.988748,SDSS J105454.07+573138.4,QX,1.9730000495910645,CXOG J105454.0+573138,
60957,128.363228,J105443.11+573005.6,X,,4XMM J105443.1+573005,
60957,133.78379,SW105455.77+573048.3,NX,0.9100000262260437,2XMM J105455.7+573049,
60957,141.577535,J105434.40+573010.5,X,,2XMM J105434.3+573011,
60957,158.500284,SW105456.33+573017.3,Q,1.1039999723434448,,
998,177.106124,SDSS J121528.60+143952.6,Q,2.3980000019073486,,
60958,50.090059,SDSS J104258.76+584951.8,Q,2.2109999656677246,,
21025,93.5495,SDSS J115555.41+445512.7,Q,1.7039999961853027,,
21025,133.619888,SDSS J115554.41+445628.3,QRX,0.5199999809265137,XMMSL J115554.8+445631,FIRST J115554.5+445627
21025,137.724684,SDSS J115558.10+445553.4,Q,1.3580000400543213,,
21025,157.971242,PGC 2253991,N,0.07199999690055847,,
80953,74.429655,WISEA J050632.61-182652.5,q,2.299999952316284,,
21026,128.843025,SDSS J120106.54+425340.9,Q,2.500999927520752,,
80955,105.683817,WISEA J050148.50-182937.7,q,2.5,,
1000,56.81981,WISEA J075058.78-694605.2,q,0.800000011920929,,
10986,154.978823,WISEA J144633.75-192717.0,q,0.4000000059604645,,
31009,151.703201,WISEA J235943.92-734420.9,q,0.20000000298023224,,
21027,144.115336,J120113.29+440840.7,2,,,
21027,153.388081,SDSS J120054.41+440647.4,Q,1.6670000553131104,,
