idx,angdist_arcsec,qso_name,qso_type,qso_z,qso_xname,qso_rname
19969,99.157631,SDSS J024612.91-073843.2,qX,0.8999999761581421,2SXPS J024612.7-073845,
19970,160.091469,WISEA J031734.09-391713.8,q,1.5,,
9074,0.176856,MCG 3-30-014,AX,0.02199999988079071,4XMM J113628.2+194840,
9074,82.20379,SDSS J113624.15+194937.7,QX,2.8259999752044678,4XMM J113624.1+194939,
9074,86.49599,J113631.25+194957.7,X,0.10000000149011612,4XMM J113631.2+194957,
9074,112.386106,SDSS J113620.83+194916.5,Q,2.3589999675750732,,
9074,145.696193,J113626.92+195105.5,X,,4XMM J113626.9+195106,
19972,0.058031,PGC 75258,ARX,0.01600000075995922,2SXPS J050208.9+033149,VL0J050208.98+033149.7
19972,109.724178,J050201.72+033147.5,X,0.699999988079071,2RXP J050202.0+033147,
19975,164.162252,SDSS J091503.22+291856.1,Q,2.13100004196167,,
19975,170.260255,SDSS J091454.84+291405.3,Q,1.1979999542236328,,
9078,125.234482,SDSS J020836.12+291159.3,Q,1.4470000267028809,,
9078,159.503366,SDSS J020831.64+291637.9,Q,1.600000023841858,,
19976,55.32179,J121925.62+054821.8,X,,CXOG J121925.6+054821,
19976,58.462206,J121921.34+054833.6,X,,CXOX J121921.2+054834,
19976,68.307665,J121921.27+054844.0,X,,XMMX J121921.1+054843,
19976,146.253945,J121931.78+054633.6,X,1.5,4XMM J121931.6+054633,
19976,171.241283,SDSS J121911.65+054728.7,QX,2.365000009536743,CXOG J121911.6+054728,
9080,143.586408,3HSPJ023237.5+313128,BRX,0.5,2SXPS J023237.4+313129,VL0J023237.51+313128.1
9081,164.92215,WISEA J025450.47+411610.1,q,1.0,,
9082,119.6198,WISEA J103105.16+724638.2,q,0.20000000298023224,,
9083,82.634875,SDSS J121504.29+343648.1,Q,2.627000093460083,,
19983,2.088939,UGC 12318,N,0.03200000151991844,,
9087,77.815193,WISEA J002111.93+271148.4,q,2.0,,
9087,120.120575,SDSS J002102.36+271117.2,Q,1.8650000095367432,,
9087,129.713857,SDSS J002106.48+271456.0,Q,2.880000114440918,,
19987,59.558754,J024643.83+211238.7,R,,,VL0J024643.82+211238.9
9088,0.245391,ESO 411-29,NR,0.03200000151991844,,VL0J005454.51-320154.0
19988,116.254918,WISEA J053113.88-203817.6,q,1.7000000476837158,,
19988,131.99865,WISEA J053112.43-203749.0,q,0.800000011920929,,
9089,76.875622,WISEA J012235.68-022530.5,q,0.5,,
9089,86.847501,SDSS J012237.41-022510.1,Q,2.0820000171661377,,
9089,135.453836,SDSS J012229.03-022642.9,Q,1.434999942779541,,
9095,45.880461,2QZ J121106.0+005745,Q,1.1990000009536743,,
9095,101.013325,WISEA J121110.13+005737.0,q,1.0,,
19999,97.67455,WISEA J172714.01-010758.7,q,2.0999999046325684,,
9098,145.77928,SDSS J151034.25+552313.5,AX,0.28700000047683716,2RXS J151036.2+552319,
9099,123.976113,WISEA J163100.48+051122.8,q,0.20000000298023224,,
9102,104.692733,J234710.12-275853.9,X,2.4000000953674316,2XMM J234710.1-275853,
