pair_id,separation_arcsec,separation_source,surface_density_deg2,expected_count,geometry_factor,p_chance,p_chance_axis_conditioned,p_chance_sdss,expected_count_sdss
NGC4319-Mrk205,42.73326314206645,archive_astrometry,66.75665668576721,0.02955095792546868,1.0,0.02911859772151215,0.02911859772151215,0.022582714074833476,0.022841608682288662
NGC7603-NGC7603B,58.27069959003526,archive_astrometry,10.0,0.008230862289334282,1.0,0.008197081487566371,0.008197081487566371,0.008197081487566371,0.008230862289334282
NGC3067-3C232,110.19439179706704,archive_astrometry,66.75665668576721,0.19649813545014072,1.0,0.17839713678667146,0.17839713678667146,0.140912530841368,0.1518845354547092
NGC1073-QSOs,121.4199573092049,archive_astrometry,66.75665668576721,0.23857207122110133,1.0,0.001894389484238812,0.001894389484238812,0.0009107262056962107,0.18440586281837326
NGC7319-QSO,9.255567403332028,archive_astrometry,66.75665668576721,0.0013862627230796663,1.0,0.0013853023047596391,0.0013853023047596391,0.0010709470812083621,0.001071520954795831
NGC1199-companion,57.83885791018318,archive_astrometry,10.0,0.008109317205444137,1.0,0.00807652539228132,0.00807652539228132,0.00807652539228132,0.008109317205444137
NGC3628-XQSO,251.1097688146428,archive_astrometry,66.75665668576721,1.02039110887299,0.1111111111111111,0.6395460641317638,0.10718580661675658,0.5455730330062518,0.7887180669590355
NGC4258-QSOs,789.3414133486841,archive_astrometry,66.75665668576721,10.082523136458553,0.1111111111111111,0.999536708337298,0.3083892825548993,0.9963730273057622,7.793353047774522
NGC2639-QSOs,596.3168438759134,archive_astrometry,66.75665668576721,5.754314613534133,0.1111111111111111,0.9785950507610839,0.1350272812334068,0.9362392324698954,4.4478355987181475
NGC1097-jetQSOs,993.2831056524266,archive_astrometry,66.75665668576721,15.965611124416364,0.1111111111111111,0.9999041792472235,0.10456056984840778,0.9982400614028294,12.340724879284245
NGC1232-NGC1232A,243.0524260265937,archive_astrometry,10.0,0.1432005848992099,1.0,0.13341977144660355,0.13341977144660355,0.13341977144660355,0.1432005848992099
NGC3516-Qchain,674.5276452942178,archive_astrometry,66.75665668576721,7.362731394053335,0.1111111111111111,0.857603835951875,0.0015550552031069476,0.6714695450983315,5.6910720038223825
