pair_id,field_kind,field_index,is_catalogued_companion,name,type,z,offset_arcmin
NGC7603-NGC7603B,control,10,False,SDSS J231407.52+010512.9,Q,2.4630000591278076,3.0459901848644924
NGC7603-NGC7603B,control,10,False,SDSS J231425.61+011206.8,Q,3.0739998817443848,5.9361803748796635
NGC7603-NGC7603B,control,11,False,SDSS J232239.07+012711.4,Q,1.5789999961853027,2.50421086934539
NGC7603-NGC7603B,control,11,False,SDSS J232250.41+012452.5,Q,1.5470000505447388,2.0830224338236465
NGC7603-NGC7603B,control,11,False,SDSS J232250.54+012229.3,Q,2.311000108718872,3.1341148754847334
NGC7603-NGC7603B,control,11,False,SDSS J232259.44+012619.8,Q,1.1130000352859497,4.599167394356549
NGC7603-NGC7603B,control,11,False,SDSS J232300.31+012247.4,Q,1.9919999837875366,4.979448409699957
NGC3067-3C232,host,-1,True,3C 232,AR2X,0.531000018119812,1.8368011737955232
NGC3067-3C232,control,0,False,SDSS J095817.08+334728.3,Q,1.2269999980926514,4.85499250337169
NGC3067-3C232,control,0,False,SDSS J095823.85+334824.5,Q,1.0140000581741333,3.802892713768209
NGC3067-3C232,control,0,False,SDSS J095838.79+335253.7,Q,1.8799999952316284,3.478029423168973
NGC3067-3C232,control,1,False,SDSS J095120.86+320314.6,Q,2.450000047683716,3.7294152923505908
NGC3067-3C232,control,1,False,SDSS J095124.30+315746.4,Q,1.718999981880188,2.2352937096818644
NGC3067-3C232,control,1,False,SDSS J095131.70+315827.8,Q,1.3869999647140503,1.5753031410619456
NGC3067-3C232,control,1,False,SDSS J095139.41+320426.8,Q,1.281000018119812,5.173630206741333
NGC3067-3C232,control,2,False,SDSS J100220.14+333501.1,Q,1.7510000467300415,4.045637683704358
NGC3067-3C232,control,2,False,SDSS J100228.97+333529.9,A,0.5419999957084656,2.6046806780660487
NGC3067-3C232,control,2,False,SDSS J100229.78+332955.2,Q,1.6169999837875366,4.385431911777699
NGC3067-3C232,control,2,False,SDSS J100232.40+332817.7,Q,1.746999979019165,5.746462265107141
NGC3067-3C232,control,2,False,KUV 09597+3343,Q,1.3609999418258667,5.6929457252810645
NGC3067-3C232,control,3,False,SDSS J100326.08+331932.1,Q,2.3320000171661377,5.9618309263827465
NGC3067-3C232,control,3,False,SDSS J100344.92+332833.8,Q,1.8860000371932983,5.319318710140421
NGC3067-3C232,control,4,False,SDSS J100338.28+312957.5,Q,1.2549999952316284,5.108688715135473
NGC3067-3C232,control,4,False,SDSS J100346.37+312858.9,Q,1.8370000123977661,3.132722548122248
