idx,subCl,spCl,e_zsp
15825,STARFORMING,GALAXY,1e-05
114027,AGN,GALAXY,2e-05
4278,,,
42627,,,
15682,,GALAXY,4e-05
98238,STARFORMING,GALAXY,1e-05
42677,,GALAXY,3e-05
98943,,GALAXY,2e-05
54923,,GALAXY,3e-05
99042,STARFORMING,GALAXY,2e-05
55668,,GALAXY,2e-05
99058,STARBURST,GALAXY,1e-05
55639,,,
97787,,GALAXY,1e-05
113705,,GALAXY,3e-05
113700,,,
113669,,GALAXY,1e-05
144003,STARFORMING,GALAXY,1e-05
54185,STARFORMING,GALAXY,1e-05
1438,,,
99084,STARFORMING,GALAXY,1e-05
41863,STARBURST,GALAXY,1e-05
4280,,,
98152,,,
159458,STARFORMING,GALAXY,1e-05
15433,,GALAXY,2e-05
114008,STARFORMING,GALAXY,2e-05
99858,,GALAXY,1e-05
137766,BROADLINE,GALAXY,1e-05
56330,,GALAXY,4e-05
137346,,GALAXY,3e-05
159785,,,
98177,,GALAXY,3e-05
42509,,,
98866,,,
99352,BROADLINE,GALAXY,1e-05
99472,,GALAXY,1e-05
137504,,,
137506,STARFORMING,GALAXY,1e-05
99143,STARFORMING,GALAXY,1e-05
99184,,GALAXY,3e-05
113052,,,
15760,,GALAXY,2e-05
98802,,GALAXY,4e-05
87913,STARFORMING,GALAXY,1e-05
56862,,GALAXY,3e-05
97075,,GALAXY,2e-05
145535,STARFORMING,GALAXY,1e-05
17814,STARBURST,GALAXY,1e-05
41139,STARFORMING,GALAXY,1e-05
58403,,GALAXY,3e-05
115128,,,
115103,STARFORMING,GALAXY,1e-05
136034,,,
94916,,GALAXY,1e-05
2448,STARFORMING,GALAXY,1e-05
58032,,,
158339,STARFORMING,GALAXY,2e-05
95044,,,
115900,STARFORMING,GALAXY,1e-05
95149,,GALAXY,1e-05
59441,,GALAXY,2e-05
221,,GALAXY,4e-05
95211,STARFORMING,GALAXY,1e-05
135958,,,
41112,,GALAXY,3e-05
58556,,,
94083,,GALAXY,4e-05
94156,STARFORMING,GALAXY,1e-05
94174,STARFORMING,GALAXY,2e-05
58299,,GALAXY,3e-05
94216,,GALAXY,1e-05
58279,,GALAXY,2e-05
114984,,GALAXY,2e-05
94338,STARFORMING,GALAXY,1e-05
95217,STARFORMING,GALAXY,2e-05
114930,,,
114909,,GALAXY,2e-05
94439,STARFORMING,GALAXY,1e-05
94493,,,
58856,,GALAXY,3e-05
19997,,GALAXY,4e-05
95692,,GALAXY,3e-05
59974,,,
59948,STARFORMING,GALAXY,1e-05
59943,,GALAXY,2e-05
95225,,GALAXY,2e-05
17303,,GALAXY,2e-05
95232,,,
136733,STARFORMING,GALAXY,1e-05
16650,,GALAXY,3e-05
136761,,GALAXY,2e-05
16638,,GALAXY,5e-05
115640,,,
57210,,GALAXY,2e-05
57200,STARBURST,GALAXY,1e-05
97928,,GALAXY,2e-05
6131,,,
96383,,GALAXY,4e-05
204,,GALAXY,2e-05
2325,,GALAXY,6e-05
115550,STARFORMING,GALAXY,1e-05
144722,,GALAXY,1e-05
96708,,,
16508,STARFORMING,GALAXY,1e-05
57779,,GALAXY,3e-05
114312,,GALAXY,3e-05
16494,,,
16480,STARFORMING,GALAXY,1e-05
41632,,GALAXY,3e-05
57729,,,
41560,,GALAXY,1e-05
114378,,,
17214,,GALAXY,3e-05
95347,,GALAXY,4e-05
136260,STARFORMING,GALAXY,1e-05
95422,,GALAXY,3e-05
16772,,,
59238,,,
158537,,,
96344,,,
136332,STARFORMING,GALAXY,1e-05
95640,,GALAXY,2e-05
59089,,,
57620,,,
57524,,,
17173,,GALAXY,2e-05
17128,,,
158654,STARBURST,GALAXY,1e-05
41490,,GALAXY,3e-05
15108,,GALAXY,3e-05
87864,STARBURST,GALAXY,1e-05
