annulus_arcsec,mean_per_galaxy,mean_per_control,overdensity_delta,delta_sigma,n_gal_matches,n_ctrl_matches
0-60,0.004481792717086834,0.0025533290239172592,0.7552742616033754,3.613452942565598,104,237
60-120,0.015470803706097824,0.006464124111182934,1.3933333333333335,8.008304704114716,359,600
120-180,0.022408963585434174,0.011409179056237879,0.9641170915958452,8.29697782858464,520,1059
