pair_id,family,params,chi2,dof,chi2_dof
NGC7603-NGC7603B,exponential,[29.999999999444288],88232.82591452244,3,29410.94197150748
NGC7603-NGC7603B,tanh,"[0.20000000000000004, 0.05000000000000001]",88232.83959498638,2,44116.41979749319
NGC7603-NGC7603B,yukawa,[0.5000000000212693],107542.40721056677,3,35847.46907018893
NGC7603-NGC7603B,nested_wells,"[0.3009433338223779, 0.18843379505205027, 0.02579880461563056, 0.0020000000000000026]",2.567370550521294e-05,1,2.567370550521294e-05
