pair_id,label,kind,archive,instrument,n_frames_total,n_science,n_science_returned_unfiltered,n_calibration,min_offset_arcmin,science_programs,science_objects,status,n_jwst_ifu,n_manga,n_spectro_fibers,n_hst_imaging
NGC1073-QSOs,NGC 1073 (host),host,MAST,ALL,88,88,,0,,,,ok,0.0,0.0,16.0,23.0
NGC7319-QSO,NGC 7319 (host),host,ESO,MUSE,45,0,44.0,1,3693.812482727506,,,ok,,,,
NGC7319-QSO,NGC 7319 (host),host,ESO,VIMOS,48,0,16.0,32,7045.798330517264,,,ok,,,,
NGC7319-QSO,NGC 7319 (host),host,ESO,SINFONI,0,0,0.0,0,,,,ok,,,,
NGC7319-QSO,NGC 7319 (host),host,ESO,GIRAFFE,32,0,32.0,0,16541.971325175644,,,ok,,,,
NGC7319-QSO,NGC 7319 (host),host,MAST,ALL,851,851,,0,,,,ok,201.0,0.0,0.0,234.0
NGC1199-companion,NGC 1199 (host),host,ESO,MUSE,379,0,369.0,10,197.30922476883114,,,ok,,,,
NGC1199-companion,NGC 1199 (host),host,ESO,VIMOS,1610,0,568.0,1042,6551.00075820143,,,ok,,,,
NGC1199-companion,NGC 1199 (host),host,ESO,SINFONI,847,0,69.0,778,6910.763757166598,,,ok,,,,
NGC1199-companion,NGC 1199 (host),host,ESO,GIRAFFE,9,0,4.0,5,16385.109132202848,,,ok,,,,
NGC1199-companion,NGC 1199 (host),host,MAST,ALL,120,120,,0,,,,ok,0.0,0.0,0.0,46.0
NGC3628-XQSO,NGC 3628 (host),host,ESO,MUSE,469,0,449.0,20,4.163742382387101,,,ok,,,,
NGC3628-XQSO,NGC 3628 (host),host,ESO,VIMOS,2292,0,1248.0,1044,1109.6745874788,,,ok,,,,
NGC3628-XQSO,NGC 3628 (host),host,ESO,SINFONI,474,18,407.0,67,2.015172554235839,078.B-0289(A),NGC-3628,ok,,,,
NGC3628-XQSO,NGC 3628 (host),host,ESO,GIRAFFE,18,0,18.0,0,2050.581529304248,,,ok,,,,
NGC3628-XQSO,NGC 3628 (host),host,MAST,ALL,125,125,,0,,,,ok,0.0,0.0,6.0,27.0
NGC4258-QSOs,NGC 4258 (host),host,ESO,MUSE,0,0,0.0,0,,,,ok,,,,
NGC4258-QSOs,NGC 4258 (host),host,ESO,VIMOS,0,0,0.0,0,,,,ok,,,,
NGC4258-QSOs,NGC 4258 (host),host,ESO,SINFONI,0,0,0.0,0,,,,ok,,,,
NGC4258-QSOs,NGC 4258 (host),host,ESO,GIRAFFE,0,0,0.0,0,,,,ok,,,,
NGC4258-QSOs,NGC 4258 (host),host,MAST,ALL,2127,2127,,0,,,,ok,138.0,0.0,10.0,987.0
NGC2639-QSOs,NGC 2639 (host),host,ESO,MUSE,0,0,0.0,0,,,,ok,,,,
NGC2639-QSOs,NGC 2639 (host),host,ESO,VIMOS,0,0,0.0,0,,,,ok,,,,
NGC2639-QSOs,NGC 2639 (host),host,ESO,SINFONI,0,0,0.0,0,,,,ok,,,,
NGC2639-QSOs,NGC 2639 (host),host,ESO,GIRAFFE,0,0,0.0,0,,,,ok,,,,
NGC2639-QSOs,NGC 2639 (host),host,MAST,ALL,98,98,,0,,,,ok,0.0,0.0,8.0,26.0
NGC1097-jetQSOs,NGC 1097 (host),host,ESO,MUSE,273,12,266.0,7,0.13289935316580953,097.B-0640(A);60.A-9487(A),NGC 1097,ok,,,,
NGC1097-jetQSOs,NGC 1097 (host),host,ESO,VIMOS,350,8,224.0,126,1.7606152147914738,094.D-0290(A),SN1992bd,ok,,,,
NGC1097-jetQSOs,NGC 1097 (host),host,ESO,SINFONI,393,11,258.0,135,1.2650392467133271,076.B-0098(A),NGC1097,ok,,,,
NGC1097-jetQSOs,NGC 1097 (host),host,ESO,GIRAFFE,252,0,197.0,55,7609.860671544377,,,ok,,,,
NGC1097-jetQSOs,NGC 1097 (host),host,MAST,ALL,469,469,,0,,,,ok,27.0,0.0,0.0,123.0
NGC1232-NGC1232A,NGC 1232 (host),host,ESO,MUSE,566,0,551.0,15,1323.1756017685568,,,ok,,,,
NGC1232-NGC1232A,NGC 1232 (host),host,ESO,VIMOS,2854,0,1576.0,1278,4708.310633475699,,,ok,,,,
NGC1232-NGC1232A,NGC 1232 (host),host,ESO,SINFONI,929,0,128.0,801,1760.148628251197,,,ok,,,,
NGC1232-NGC1232A,NGC 1232 (host),host,ESO,GIRAFFE,37,0,22.0,15,4351.250197138453,,,ok,,,,
NGC1232-NGC1232A,NGC 1232 (host),host,MAST,ALL,29,29,,0,,,,ok,0.0,0.0,0.0,0.0
NGC3516-Qchain,NGC 3516 (host),host,ESO,MUSE,0,0,0.0,0,,,,ok,,,,
NGC3516-Qchain,NGC 3516 (host),host,ESO,VIMOS,0,0,0.0,0,,,,ok,,,,
NGC3516-Qchain,NGC 3516 (host),host,ESO,SINFONI,0,0,0.0,0,,,,ok,,,,
NGC3516-Qchain,NGC 3516 (host),host,ESO,GIRAFFE,0,0,0.0,0,,,,ok,,,,
NGC3516-Qchain,NGC 3516 (host),host,MAST,ALL,638,638,,0,,,,ok,0.0,0.0,0.0,102.0
NGC7603-NGC7603B,[LG2002] 3 (filament knot),filament_knot,ESO,MUSE,2144,0,371.0,1773,32.1153862035496,,,ok,,,,
NGC7603-NGC7603B,[LG2002] 3 (filament knot),filament_knot,ESO,VIMOS,10000,0,1218.0,8782,1243.4456717015767,,,ok,,,,
NGC7603-NGC7603B,[LG2002] 3 (filament knot),filament_knot,ESO,SINFONI,1432,0,1083.0,349,2107.8379700173637,,,ok,,,,
NGC7603-NGC7603B,[LG2002] 3 (filament knot),filament_knot,ESO,GIRAFFE,650,0,117.0,533,3240.511086548335,,,ok,,,,
NGC7603-NGC7603B,[LG2002] 3 (filament knot),filament_knot,MAST,ALL,242,242,,0,,,,ok,0.0,0.0,14.0,46.0
NGC7603-NGC7603B,[LG2002] 2 (filament knot),filament_knot,ESO,MUSE,2144,0,371.0,1773,8.14754876731964,,,ok,,,,
NGC7603-NGC7603B,[LG2002] 2 (filament knot),filament_knot,ESO,VIMOS,10000,0,1218.0,8782,1232.1336949807276,,,ok,,,,
NGC7603-NGC7603B,[LG2002] 2 (filament knot),filament_knot,ESO,SINFONI,1432,0,1083.0,349,2117.632943564427,,,ok,,,,
NGC7603-NGC7603B,[LG2002] 2 (filament knot),filament_knot,ESO,GIRAFFE,650,0,117.0,533,3247.2788634341523,,,ok,,,,
NGC7603-NGC7603B,[LG2002] 2 (filament knot),filament_knot,MAST,ALL,238,238,,0,,,,ok,0.0,0.0,15.0,46.0
