id,ra_deg,dec_deg,cz_kms,glat_deg
12312403+2546299,187.85014,25.77498,1344.0,85.31581054513306
11113096+5540268,167.87903,55.67412,699.0,56.25174120352691
13132753+3635371,198.36473,36.59365,875.0,79.44800896610357
01364177+1547004,24.17405,15.78346,657.0,-45.705419083451915
04313953-5436081,67.91473,-54.60227,1063.0,-41.834477357702006
09113750+6002139,137.90627,60.03721,1373.0,40.56345167750836
01341823-2925065,23.57598,-29.41849,1481.0,-80.2922499676212
00031494+1608428,0.81228,16.14523,1059.0,-45.17490623504267
11534902+5219355,178.45428,52.32654,1052.0,62.59050175089121
13201692-2149392,200.07051,-21.82758,1659.0,40.54959211229988
12282963+1705058,187.12347,17.08495,1954.0,78.64225418175604
12290002+1358428,187.25011,13.97856,1210.0,75.84634748914367
01244770+0932196,21.19883,9.53884,2379.0,-52.45157039278652
04454255-5914507,71.4273,-59.24741,1331.0,-38.98992257326327
04215882-5658291,65.49509,-56.97475,1041.0,-42.58470937671016
12015317-1852379,180.47154,-18.8772,1705.0,42.45284863000051
12200682+2916498,185.02841,29.2805,649.0,82.77278742583505
14324077-4410285,218.16991,-44.17461,1233.0,15.027953657641556
12294887+1325455,187.45366,13.42932,2244.0,75.398701245139
12484927-4118399,192.20532,-41.31109,2958.0,21.55797341344357
03420155-4713194,55.50647,-47.22208,991.0,-51.19481932009949
11095773-3732216,167.49054,-37.53934,3030.0,21.088934105650225
09191853+6912122,139.82732,69.20334,696.0,38.046598113560826
22550094-3939409,343.75394,-39.66137,1709.0,-62.82991216433581
02414523+0026354,40.43847,0.44318,1006.0,-51.749466482816
21190024-4833432,319.75104,-48.56201,2285.0,-44.06053139583459
13491520+6011254,207.31334,60.19041,1754.0,55.494907244654605
10134567+0325288,153.44031,3.42467,1183.0,45.52412985931137
23120759-2832227,348.03162,-28.5396,1549.0,-68.03822363117924
10015792+5540480,150.49135,55.68,1116.0,48.359963140297744
13180505-2650139,199.52112,-26.83722,2028.0,35.65555794506974
12300227+1338112,187.50945,13.63645,1355.0,75.61206675606833
02230456-2114018,35.76904,-21.23385,1485.0,-68.32239196515911
10141509+0327580,153.56291,3.46612,1238.0,45.647332314587054
20095408-4822462,302.47531,-48.37955,2855.0,-32.637568654059564
12280389+0948130,187.01622,9.80362,532.0,71.81910195228433
13373206+0853062,204.38362,8.88506,1151.0,68.7503383487495
11525536+3659109,178.23065,36.98635,928.0,74.19387547400254
01430234+1338444,25.75979,13.64568,856.0,-47.346354308686784
06213977-2714014,95.41574,-27.23374,1514.0,-18.130773965006707
12274050+1304444,186.91875,13.079,801.0,74.8910033278591
01530052-1344192,28.25218,-13.73868,1620.0,-70.35724429535773
