annulus_arcsec,mean_per_galaxy,mean_per_control,overdensity_delta,delta_sigma,n_gal_matches,n_ctrl_matches
0-60,0.018228829993535877,0.02572721396250808,-0.29145728643216073,-7.658841492014316,423,2388
60-120,0.07550096961861667,0.07588881706528765,-0.005110732538330498,-0.17908281052697184,1752,7044
120-180,0.1282482223658694,0.127138547726783,0.008728073892042998,0.3740428782182855,2976,11801
