pair_id,sigma_v_kms,theta_arcsec,d_lens_mpc,d_lens_source,d_source_mpc,theta_einstein_arcsec,magnification_mu,mu_minus_1_pct,n_companions,lambda_base
NGC4319-Mrk205,250.0,42.73326314206645,20.043267192000002,hubble_z,303.21865751999997,1.683345242431493,1.0410072742787742,4.100727427877415,1,0.0295509579254686
NGC4319-Mrk205,300.0,42.73326314206645,20.043267192000002,hubble_z,303.21865751999997,2.4240171491013496,1.0601355120739395,6.013551207393952,1,0.0295509579254686
NGC4319-Mrk205,400.0,42.73326314206645,20.043267192000002,hubble_z,303.21865751999997,4.309363820624622,1.112153214450566,11.215321445056592,1,0.0295509579254686
NGC7603-NGC7603B,250.0,58.27069959003526,113.34434884565088,cosmicflows4,241.9753411,0.9581822418271826,1.0167185509581729,1.6718550958172873,1,0.0082308622893342
NGC7603-NGC7603B,300.0,58.27069959003526,113.34434884565088,cosmicflows4,241.9753411,1.379782428231143,1.0242531232939502,2.425312329395024,1,0.0082308622893342
NGC7603-NGC7603B,400.0,58.27069959003526,113.34434884565088,cosmicflows4,241.9753411,2.4529465390775873,1.0439456338709698,4.394563387096984,1,0.0082308622893342
NGC3067-3C232,250.0,110.19439179706704,21.727006445039866,cosmicflows4,2282.7054302,1.7853367908817905,1.0164685209254885,1.646852092548845,1,0.1964981354501407
NGC3067-3C232,300.0,110.19439179706704,21.727006445039866,cosmicflows4,2282.7054302,2.570884978869778,1.0238877644380482,2.3887764438048187,1,0.1964981354501407
NGC3067-3C232,400.0,110.19439179706704,21.727006445039866,cosmicflows4,2282.7054302,4.570462184657383,1.0432710864046513,4.327108640465127,1,0.1964981354501407
NGC1073-QSOs,250.0,121.4199573092049,29.979245799999998,hubble_z,8330.804132879999,1.7960066361309175,1.015013771289324,1.5013771289323907,3,0.2385720712211013
NGC1073-QSOs,300.0,121.4199573092049,29.979245799999998,hubble_z,8330.804132879999,2.5862495560285206,1.0217636023055032,2.1763602305503227,3,0.2385720712211013
NGC1073-QSOs,400.0,121.4199573092049,29.979245799999998,hubble_z,8330.804132879999,4.597776988495148,1.0393570551060847,3.935705510608467,3,0.2385720712211013
NGC7319-QSO,250.0,9.255567403332028,96.36186149999999,hubble_z,9053.732231599999,1.7833085616946796,1.2386572252767296,23.86572252767296,1,0.0013862627230796
NGC7319-QSO,300.0,9.255567403332028,96.36186149999999,hubble_z,9053.732231599999,2.5679643288403384,1.383988747573139,38.39887475731389,1,0.0013862627230796
NGC7319-QSO,400.0,9.255567403332028,96.36186149999999,hubble_z,9053.732231599999,4.565269917938378,1.9733433608753757,97.33433608753757,1,0.0013862627230796
NGC1199-companion,250.0,57.83885791018318,34.41910883609822,cosmicflows4,188.44097359999998,1.473264236362032,1.026137651363837,2.6137651363836945,1,0.0081093172054441
NGC1199-companion,300.0,57.83885791018318,34.41910883609822,cosmicflows4,188.44097359999998,2.121500500361326,1.0380761148587305,3.8076114858730525,1,0.0081093172054441
NGC1199-companion,400.0,57.83885791018318,34.41910883609822,cosmicflows4,188.44097359999998,3.7715564450868015,1.0697566984644418,6.975669846444177,1,0.0081093172054441
NGC3628-XQSO,250.0,251.1097688146428,10.641431303892324,cosmicflows4,9207.91121,1.8004099792342034,1.0072215900263208,0.7221590026320834,1,1.02039110887299
NGC3628-XQSO,300.0,251.1097688146428,10.641431303892324,cosmicflows4,9207.91121,2.592590370097253,1.0104322380703183,1.0432238070318345,1,1.02039110887299
NGC3628-XQSO,400.0,251.1097688146428,10.641431303892324,cosmicflows4,9207.91121,4.60904954683956,1.0186979152049946,1.8697915204994642,1,1.02039110887299
NGC4258-QSOs,250.0,789.3414133486841,7.543972518331142,cosmicflows4,2796.6353581999997,1.7976308343451255,1.0022825789172076,0.22825789172076227,2,10.082523136458551
NGC4258-QSOs,300.0,789.3414133486841,7.543972518331142,cosmicflows4,2796.6353581999997,2.58858840145698,1.0032902181210859,0.3290218121085875,2,10.082523136458551
NGC4258-QSOs,400.0,789.3414133486841,7.543972518331142,cosmicflows4,2796.6353581999997,4.60193493592352,1.0058642837049967,0.5864283704996698,2,10.082523136458551
NGC2639-QSOs,250.0,596.3168438759134,47.538518339999996,hubble_z,1384.1846060799999,1.7405881610173939,1.0029274431063928,0.2927443106392813,2,5.754314613534133
NGC2639-QSOs,300.0,596.3168438759134,47.538518339999996,hubble_z,1384.1846060799999,2.5064469518650467,1.0042209549796508,0.4220954979650804,2,5.754314613534133
NGC2639-QSOs,400.0,596.3168438759134,47.538518339999996,hubble_z,1384.1846060799999,4.455905692204528,1.0075286362128892,0.7528636212889239,2,5.754314613534133
NGC1097-jetQSOs,250.0,993.2831056524266,15.031421245271774,cosmicflows4,11263.630921999998,1.8000876468494709,1.001815550659123,0.18155506591230886,4,15.965611124416364
NGC1097-jetQSOs,300.0,993.2831056524266,15.031421245271774,cosmicflows4,11263.630921999998,2.592126211463238,1.0026164831064939,0.2616483106493872,4,15.965611124416364
NGC1097-jetQSOs,400.0,993.2831056524266,15.031421245271774,cosmicflows4,11263.630921999998,4.608224375934645,1.0046610108774938,0.4661010877493821,4,15.965611124416364
NGC1232-NGC1232A,250.0,243.0524260265937,22.91270929,hubble_z,94.26331429399998,1.3643586957220502,1.0056451222883678,0.5645122288367777,1,0.1432005848992099
NGC1232-NGC1232A,300.0,243.0524260265937,22.91270929,hubble_z,94.26331429399998,1.9646765218397517,1.00814921756031,0.8149217560309951,1,0.1432005848992099
NGC1232-NGC1232A,400.0,243.0524260265937,22.91270929,hubble_z,94.26331429399998,3.492758261048447,1.014579909438123,1.4579909438122929,1,0.1432005848992099
NGC3516-Qchain,250.0,674.5276452942178,37.68819472,hubble_z,8993.77374,1.7949397864263381,1.0026681321893982,0.2668132189398209,5,7.362731394053335
NGC3516-Qchain,300.0,674.5276452942178,37.68819472,hubble_z,8993.77374,2.5847132924539267,1.0038466262079042,0.38466262079042135,5,7.362731394053335
NGC3516-Qchain,400.0,674.5276452942178,37.68819472,hubble_z,8993.77374,4.595045853251425,1.0068589673902804,0.6858967390280357,5,7.362731394053335
