pair_id,resolved_name,z,forest_lo_a,forest_hi_a
NGC1073-QSOs,[VV96] J024333.6+012222,1.945,3065.7450000000003,3489.8250000000003
NGC7319-QSO,[VV2006] J223603.7+335824,2.114,3241.674,3690.09
NGC1097-jetQSOs,WISP 257  129,2.3342,3470.9022,3951.027
NGC3516-Qchain,1WGA J1107.7+7232,2.0999999046325684,3227.0999007225037,3673.4998869895935
