pair_id,profile,x,a_int_x,phi_x
NGC4319-Mrk205,exponential,0.0,1.0,-0.0
NGC4319-Mrk205,exponential,0.005025125628140704,0.9987482947685878,0.0012524892687293626
NGC4319-Mrk205,exponential,0.010050251256281407,0.9975214982637136,0.002481578306288853
NGC4319-Mrk205,exponential,0.01507537688442211,0.9963191148058498,0.0036876763220865176
NGC4319-Mrk205,exponential,0.020100502512562814,0.9951406585794093,0.0048711864082502995
NGC4319-Mrk205,exponential,0.02512562814070352,0.9939856534364545,0.006032505592242724
NGC4319-Mrk205,exponential,0.03015075376884422,0.9928536327043129,0.0071720248905900895
NGC4319-Mrk205,exponential,0.035175879396984924,0.9917441389970209,0.008290129363646887
NGC4319-Mrk205,exponential,0.04020100502512563,0.9906567240305192,0.009387198171319869
NGC4319-Mrk205,exponential,0.04522613065326633,0.9895909484415277,0.0104636046296758
NGC4319-Mrk205,exponential,0.05025125628140704,0.9885463816100224,0.011519716268363839
NGC4319-Mrk205,exponential,0.05527638190954774,0.987522601485246,0.012555894888780877
NGC4319-Mrk205,exponential,0.06030150753768844,0.9865191944151818,0.01357249662291304
NGC4319-Mrk205,exponential,0.06532663316582915,0.9855357549794195,0.014569871992790893
NGC4319-Mrk205,exponential,0.07035175879396985,0.9845718858253474,0.015548365970493666
NGC4319-Mrk205,exponential,0.07537688442211056,0.9836271975076055,0.01650831803864212
NGC4319-Mrk205,exponential,0.08040201005025126,0.9827013083307313,0.017450062251325435
NGC4319-Mrk205,exponential,0.08542713567839195,0.981793844194939,0.018373927295401573
NGC4319-Mrk205,exponential,0.09045226130653267,0.9809044384449666,0.019280236552121053
NGC4319-Mrk205,exponential,0.09547738693467336,0.9800327317219306,0.02016930815902182
NGC4319-Mrk205,exponential,0.10050251256281408,0.9791783718181301,0.021041455072043982
NGC4319-Mrk205,exponential,0.10552763819095477,0.9783410135347389,0.02189698512781842
NGC4319-Mrk205,exponential,0.11055276381909548,0.9775203185423301,0.022736201106084167
NGC4319-Mrk205,exponential,0.11557788944723618,0.9767159552441766,0.023559400792188174
NGC4319-Mrk205,exponential,0.12060301507537688,0.9759275986422707,0.024366877039629253
NGC4319-Mrk205,exponential,0.12562814070351758,0.9751549302060116,0.02515891783260207
NGC4319-Mrk205,exponential,0.1306532663316583,0.9743976377435043,0.025935806348506875
NGC4319-Mrk205,exponential,0.135678391959799,0.9736554152754211,0.026697821020384798
NGC4319-Mrk205,exponential,0.1407035175879397,0.9729279629113718,0.02744523559924707
NGC4319-Mrk205,exponential,0.1457286432160804,0.9722149867287355,0.028178319216261828
