pair_id,d_hubble_gal_mpc,d_hubble_comp_mpc,d_comoving_gal_mpc,d_comoving_comp_mpc,distance_inflation_factor,hubble_inflation_factor,comoving_gap_mpc,lookback_gap_gyr,a_bg_at_pair,a_int,projected_sep_kpc
NGC4319-Mrk205,20.043267192000002,303.21865751999997,20.02214034858283,298.3204585738566,14.899528890525023,15.128205128205124,278.2983182252738,0.8751172548364821,0.9953418003742485,0.9382517743742996,4.0579519625722105
NGC7603-NGC7603B,126.34110729999998,241.9753411,125.49734444370154,238.86407691127513,1.9033396919281447,1.915254237288136,113.3667324675736,0.35453845894618574,0.9713453132588634,0.9744439185991484,34.86864441208466
NGC3067-3C232,20.985472059999996,2282.7054302,20.962311155588484,1995.5763962481994,95.1983004849246,108.77551020408166,1974.614085092611,5.2024735860452385,0.9951238929246692,0.6555120678408349,11.529116697115091
NGC1073-QSOs,29.979245799999998,2568.36481518,29.93195746542074,2205.445361994622,73.68196231544461,85.67142857142858,2175.513404529201,5.610523105547158,0.99304865938431,0.6294930299431143,17.292658369364077
NGC7319-QSO,96.36186149999999,9053.732231599999,95.87171442144187,5340.242244992276,55.701958364039875,93.95555555555556,5244.3705305708345,10.102284783685308,0.9779951100244499,0.3283558124598587,4.045684862280476
NGC1199-companion,35.54682002,188.44097359999998,35.4803181207711,186.55854426521577,5.258085444166284,5.301204819277108,151.07822614444467,0.48026563114194154,0.991768322919766,0.9658045977011492,9.894653682772665
NGC3628-XQSO,12.085918806799999,6416.7706192802,12.078240176141229,4360.68624257972,361.0365565667098,530.9294826364281,4348.608002403578,9.222777071067233,0.9971859412737254,0.4014044846000233,17.517653425393895
NGC4258-QSOs,6.424124099999999,1704.5342612,6.4219552547164485,1544.6019403004063,240.5189508547278,265.33333333333337,1538.1799850456898,4.244751740799662,0.9985022466300548,0.7163805436337625,17.90662224432202
NGC2639-QSOs,47.538518339999996,1305.38201712,47.41950908435726,1212.0066809433943,25.55924142502797,27.459459459459463,1164.587171859037,3.3085987062766744,0.989021857383048,0.774908031882281,136.42346012616548
NGC1097-jetQSOs,18.158857456,2227.029688,18.141518070904414,1953.6937297423651,107.69185478891774,122.64150943396227,1935.5522116714608,5.122143189564703,0.9957779016968056,0.6606842105263158,63.058476389574636
NGC1232-NGC1232A,22.91270929,94.26331429399998,22.8850963464919,93.7943303431701,4.098489642476337,4.114018691588784,70.90923399667821,0.22816135788247927,0.9946784701845129,0.983698789640023,29.134948622910734
NGC3516-Qchain,37.68819472,3982.956942,37.61343128882493,3130.037441632206,83.21595064266711,105.68181818181819,3092.4240103433813,7.304665241014101,0.9912767644726408,0.5226943005181346,121.92554374017176
