idx,e_zsp,f_zsp,spCl,angDist
98416,2e-05,0,GALAXY,0.0
98419,,0,,0.0
4348,,0,,0.0
146135,1e-05,0,GALAXY,0.0
113252,1e-05,0,GALAXY,0.0
98479,1e-05,0,GALAXY,0.0
98536,1e-05,0,GALAXY,0.0
159311,1e-05,0,GALAXY,0.0
146115,1e-05,0,GALAXY,0.0
114142,2e-05,0,GALAXY,0.0
159382,1e-05,0,GALAXY,0.0
97506,1e-05,0,GALAXY,0.0
16040,3e-05,0,GALAXY,0.0
55343,,0,,0.0
55432,3e-05,0,GALAXY,0.0
158826,,0,,0.0
136549,1e-05,0,GALAXY,0.0
136550,1e-05,0,GALAXY,0.0
159194,1e-05,0,GALAXY,0.0
56822,,0,,0.0
16437,2e-05,0,GALAXY,0.0
114822,1e-05,0,GALAXY,0.0
136572,1e-05,0,GALAXY,0.0
41964,1e-04,0,GALAXY,0.0
97509,1e-05,0,GALAXY,0.0
56227,,0,,0.0
114766,1e-05,0,GALAXY,0.0
136920,,0,,0.0
56136,,0,,0.0
97377,2e-05,0,GALAXY,0.0
16232,1e-05,0,GALAXY,0.0
56682,1e-05,0,GALAXY,0.0
137017,,0,,0.0
137023,1e-05,0,GALAXY,0.0
158823,1e-05,0,GALAXY,0.0
114768,3e-05,0,GALAXY,0.0
56415,4e-05,0,GALAXY,0.0
15825,1e-05,0,GALAXY,0.0
114027,2e-05,0,GALAXY,0.0
4278,,0,,0.0
42627,,0,,0.0
15682,4e-05,0,GALAXY,0.0
98238,1e-05,0,GALAXY,0.0
42677,3e-05,0,GALAXY,0.0
98943,2e-05,0,GALAXY,0.0
54923,3e-05,0,GALAXY,0.0
99042,2e-05,0,GALAXY,0.0
55668,2e-05,0,GALAXY,0.0
99058,1e-05,0,GALAXY,0.0
55639,,0,,0.0
97787,1e-05,0,GALAXY,0.0
113705,3e-05,0,GALAXY,0.0
113700,,0,,0.0
113669,1e-05,0,GALAXY,0.0
144003,1e-05,0,GALAXY,0.0
54185,1e-05,0,GALAXY,0.0
1438,,0,,0.0
99084,1e-05,0,GALAXY,0.0
41863,1e-05,0,GALAXY,0.0
4280,,0,,0.0
98152,,0,,0.0
159458,1e-05,0,GALAXY,0.0
15433,2e-05,0,GALAXY,0.0
114008,2e-05,0,GALAXY,0.0
99858,1e-05,0,GALAXY,0.0
137766,1e-05,0,GALAXY,0.0
56330,4e-05,0,GALAXY,0.0
137346,3e-05,0,GALAXY,0.0
159785,,0,,0.0
98177,3e-05,0,GALAXY,0.0
42509,,0,,0.0
98866,,0,,0.0
99352,1e-05,0,GALAXY,0.0
99472,1e-05,0,GALAXY,0.0
137504,,0,,0.0
137506,1e-05,0,GALAXY,0.0
99143,1e-05,0,GALAXY,0.0
99184,3e-05,0,GALAXY,0.0
113052,,0,,0.0
15760,2e-05,0,GALAXY,0.0
98802,4e-05,0,GALAXY,0.0
87913,1e-05,0,GALAXY,0.0
56862,3e-05,0,GALAXY,0.0
97075,2e-05,0,GALAXY,0.0
145535,1e-05,0,GALAXY,0.0
17814,1e-05,0,GALAXY,0.0
41139,1e-05,0,GALAXY,0.0
58403,3e-05,0,GALAXY,0.0
115128,,0,,0.0
115103,1e-05,0,GALAXY,0.0
136034,,0,,0.0
94916,1e-05,0,GALAXY,0.0
2448,1e-05,0,GALAXY,0.0
58032,,0,,0.0
158339,2e-05,0,GALAXY,0.0
95044,,0,,0.0
115900,1e-05,0,GALAXY,0.0
95149,1e-05,0,GALAXY,0.0
59441,2e-05,0,GALAXY,0.0
221,4e-05,0,GALAXY,0.0
95211,1e-05,0,GALAXY,0.0
135958,,0,,0.0
41112,3e-05,0,GALAXY,0.0
58556,,0,,0.0
94083,4e-05,0,GALAXY,0.0
94156,1e-05,0,GALAXY,0.0
94174,2e-05,0,GALAXY,0.0
58299,3e-05,0,GALAXY,0.0
94216,1e-05,0,GALAXY,0.0
58279,2e-05,0,GALAXY,0.0
114984,2e-05,0,GALAXY,0.0
94338,1e-05,0,GALAXY,0.0
95217,2e-05,0,GALAXY,0.0
114930,,0,,0.0
114909,2e-05,0,GALAXY,0.0
94439,1e-05,0,GALAXY,0.0
94493,,0,,0.0
58856,3e-05,0,GALAXY,0.0
19997,4e-05,0,GALAXY,0.0
95692,3e-05,0,GALAXY,0.0
59974,,0,,0.0
59948,1e-05,0,GALAXY,0.0
59943,2e-05,0,GALAXY,0.0
95225,2e-05,0,GALAXY,0.0
17303,2e-05,0,GALAXY,0.0
95232,,0,,0.0
136733,1e-05,0,GALAXY,0.0
16650,3e-05,0,GALAXY,0.0
136761,2e-05,0,GALAXY,0.0
16638,5e-05,0,GALAXY,0.0
115640,,0,,0.0
57210,2e-05,0,GALAXY,0.0
57200,1e-05,0,GALAXY,0.0
97928,2e-05,0,GALAXY,0.0
6131,,0,,0.0
96383,4e-05,0,GALAXY,0.0
204,2e-05,0,GALAXY,0.0
2325,6e-05,0,GALAXY,0.0
115550,1e-05,0,GALAXY,0.0
144722,1e-05,0,GALAXY,0.0
96708,,0,,0.0
16508,1e-05,0,GALAXY,0.0
57779,3e-05,0,GALAXY,0.0
114312,3e-05,0,GALAXY,0.0
16494,,0,,0.0
16480,1e-05,0,GALAXY,0.0
41632,3e-05,0,GALAXY,0.0
57729,,0,,0.0
41560,1e-05,0,GALAXY,0.0
114378,,0,,0.0
17214,3e-05,0,GALAXY,0.0
95347,4e-05,0,GALAXY,0.0
136260,1e-05,0,GALAXY,0.0
95422,3e-05,0,GALAXY,0.0
16772,,0,,0.0
59238,,0,,0.0
158537,,0,,0.0
